,mean_dist_to_outlet
_1910235,17672.52496732117
_1880134,17395.91560836544
_2000306,16828.31904259827
_1960239,15993.130260564134
_1960051,17478.432715796884
_1860169,17113.1252235771
_1980348,15830.83830877555
_1990247,15926.759492450528
_1940315,15457.334457680532
_1900087,16160.609849744958
_2000255,16318.209197479262
_2000257,15422.923684661213
_1980285,16128.905292308493
_2000256,15673.59730374037
_2000330,15535.056322018734
_1850270,15045.418027442425
_1250073,15417.44168231428
_1910130,15428.316929380502
_1710127,15244.624633610425
_2000047,15503.735876881305
_2000055,14787.379720566523
_1990338,14545.453258352352
_2000136,14932.796963204666
_1910306,14375.272893055462
_1960048,14733.739844326046
_2000115,14263.211197938199
_1980138,14728.226581973833
_2000265,14632.002842852118
_1980000,14487.28362440476
_2000328,14367.169053441236
_1990107,14693.803658459656
_2000337,14704.36500998573
_2000324,14654.171630672667
_1990152,14201.044045863156
_1960090,14575.50200011899
_1940227,14883.286307670473
_2000077,14781.355797144623
_1970270,13788.202789293655
_2000017,13993.464297049266
_1940059,14554.68649714879
_1960289,13864.05246356062
_1960204,14223.157216868696
_2000188,14224.102778765273
_1980352,14059.534574928777
_2000348,14232.003648588787
_1950277,14296.17000643107
_1980045,14171.433391066917
_2000223,14274.265882303851
_1980255,14251.134174024255
_1910029,14404.616138782167
_1880221,14137.096179849026
_1990038,13994.922928981416
_1990039,13846.004496819844
_1960114,13868.615457489586
_2000314,13886.525794796198
_1960259,14212.711940992478
_1990055,14189.610080738015
_2000143,14317.41113184019
_1990071,14188.98536093361
_1920002,14337.333808721365
_2000275,14273.111707329685
_1950141,14425.966348440812
_1980332,14621.764707941113
_2000132,14538.00951901889
_2000303,14436.075084096103
_1960021,14205.111826687875
_1990118,14002.956770323795
_2000184,13890.162607071938
_1990341,13763.826698081151
_1980305,14096.8912212322
_2000109,14196.187200328006
_2000308,13971.567089499367
_1990072,14035.710377997184
_2000119,13960.151449701396
_1990056,14490.945738685577
_1970302,14234.543012301287
_2000095,14183.777764176599
_1980036,14203.844577598884
_1990249,14057.719216168207
_1970008,13857.358059433996
_2000194,13763.161107867669
_1980159,13227.740563340094
_2000274,13299.758843053092
_2000090,13137.641664814573
_2000234,13247.918861462435
_2000108,13149.476190944537
_2000069,13255.796633429736
_2000093,13206.031718053982
_2000249,13141.797541920072
_2000296,13333.843751199676
_1980324,13518.727454473266
_1990087,13141.887536543376
_2000264,13284.42592521326
_1980291,13335.275557690215
_2000318,13337.301783839479
_2000159,13471.292331683022
_2000146,13398.057575628887
_2000026,13325.658781622516
_1960208,13448.03228324842
_2000311,13498.376967077524
_1870204,13476.235978246772
_1990296,13641.24770432052
_1970187,13660.204954289547
_2000111,13691.967748675761
_2000139,13730.15984576346
_1990132,13730.727742968294
_1980128,13707.005666991865
_2000344,13711.396542840572
_1980299,13745.933897411633
_1980240,13840.10324551105
_1990034,13777.364451279238
_1960254,13610.446796109654
_1990007,13490.681571547459
_2000307,13495.386399501542
_2000085,13539.958397741153
_2000152,13585.943794042527
_2000167,13461.972993140562
_2000210,13509.204447923616
_2000065,13487.778479089951
_1970118,13453.202044484704
_1990097,13603.082102314702
_2000086,13503.421899394103
_1980116,13513.067558724932
_2000014,13456.094555851965
_1970253,13554.540805017283
_2000083,14001.660649755117
_1990321,13921.848438215893
_1990300,13824.694023994793
_1990005,13567.652266719024
_2000342,13479.102304817592
_2000124,13514.018645367132
_1990099,13856.423741704171
_2000110,13882.215301254593
_1960207,13855.573835978248
_2000160,13896.196222352597
_1990074,13588.490507213206
_1960039,13431.027968879343
_1970230,13525.70870859196
_1990334,13445.545400652662
_1970013,13540.796008226516
_2000208,13581.141342418921
_1990297,13575.203283316441
_2000340,13575.144276914152
