,Pareto_presence
20000,55
20001,13
20002,0
20003,132
20004,0
20005,22
20006,56
20007,0
20008,36
20009,0
20010,69
20011,125
20012,229
20013,6
20014,40
20015,0
20016,32
20017,29
20018,4
20019,7
20020,0
20021,30
20022,50
20023,0
20024,1
20025,135
20027,6
20028,0
20029,116
20030,5
20031,0
20032,20
20033,8
20034,0
20035,0
20036,0
20037,0
20038,29
20039,13
20040,9
20041,6
20042,6
20043,0
20044,43
20045,10
20046,7
20047,9
20048,76
20049,110
20050,0
20051,130
20052,2
20053,5
20054,1
20055,140
20056,2
20057,0
20058,7
20059,0
20060,56
20061,0
20062,33
20063,0
20064,17
20065,5
20066,0
20067,11
20068,0
20069,2
20070,143
20071,33
20072,258
20073,0
20074,14
20075,66
20076,0
20077,0
20078,20
20079,32
20080,17
20081,30
20082,0
20083,14
20084,195
20086,0
20087,31
20088,9
20089,138
20090,13
20092,0
20093,1
20095,61
20096,29
20097,58
20098,4
20099,69
20100,0
20101,230
20102,23
20103,161
20104,13
20105,5
20106,1
20107,6
20108,4
20109,32
20110,82
20111,20
20112,22
20113,5
20114,0
20115,21
20116,0
20117,170
20118,7
20119,0
20120,0
20121,0
20122,0
20123,0
20124,59
20125,0
20126,0
20127,61
20128,0
20129,66
20130,41
20131,0
20132,18
20133,2
20134,8
20135,54
20136,26
20137,0
20138,0
20139,15
20141,11
20142,21
20143,0
20144,0
20145,140
20146,18
20147,2
20148,105
20149,0
20150,0
20151,0
20152,1
20153,13
20154,0
20155,2
20156,0
20157,122
20158,213
20159,0
20160,0
20161,0
20162,59
20163,0
20164,15
20165,2
20166,31
20167,46
20168,9
20169,5
20170,0
20171,0
20172,50
20173,5
20174,16
20175,0
20176,0
20177,43
20178,22
20179,17
20180,0
20181,3
20182,128
20183,0
20184,19
20185,17
20186,5
20187,46
20188,61
20189,0
20190,32
20191,66
20192,0
20193,7
20194,7
20195,0
20196,2
20197,134
20198,0
20199,0
20200,0
20201,15
20202,0
20203,4
20204,0
20205,5
20206,3
20207,29
20208,7
20209,0
20210,5
20211,0
20212,34
20213,0
20214,0
20215,0
20216,0
20217,3
20218,0
20219,49
20220,30
20221,0
20222,109
20223,58
20224,6
20225,7
20226,160
20227,46
20228,0
20229,61
20230,140
20231,70
20232,6
20233,17
20234,0
20235,6
20236,18
20237,21
20238,0
20239,33
20240,0
20241,30
20242,4
20243,1
20244,16
20245,0
20246,14
20247,0
20248,0
20249,0
20250,0
20251,0
20252,41
20253,12
20254,0
20255,30
20256,18
20257,0
20258,0
20259,0
20260,0
20261,0
20262,0
20263,0
20264,2
20265,131
20266,0
20267,0
20268,0
20269,0
20270,0
20271,0
20272,11
20273,0
20274,44
20275,0
30276,66
30277,35
30278,0
30279,0
30280,0
30281,35
30282,28
30283,56
30284,104
30285,2
30286,31
30287,85
30288,31
30289,38
30291,38
30292,0
30293,30
30294,8
30295,85
30296,130
30297,113
30298,78
30299,126
30300,126
30301,53
30302,172
30303,11
30305,29
30306,95
30307,33
30308,0
30309,164
30310,8
30311,18
30312,19
30313,83
30314,29
30315,72
30316,39
30317,2
30318,0
30319,28
30320,18
30321,0
30322,57
30323,5
30324,103
30325,0
30327,0
30328,0
30329,0
30330,0
30331,100
30332,21
30333,0
30334,0
30335,44
30336,0
30337,0
30338,20
30339,0
30340,94
30341,0
30342,31
30343,0
30344,32
30345,0
30346,5
30347,0
30348,173
30349,0
30350,0
30351,2
30352,104
30353,130
30354,0
30355,23
30356,4
30357,67
30358,0
30359,164
30360,36
30361,13
30362,7
30363,0
30364,0
30365,1
30366,15
30367,0
30368,1
30369,0
30370,0
30371,0
30372,3
30373,176
30374,4
30375,68
30377,7
30378,5
30379,0
30380,0
30381,0
30382,0
30384,0
30385,32
30386,2
30387,63
30388,149
30389,2
30390,4
30391,0
30392,0
30393,0
30394,0
30395,0
30397,3
30398,0
30399,0
30400,25
30401,11
30402,1
40403,46
40404,9
40405,0
40406,6
40407,69
40408,0
40409,38
40410,149
40411,0
40412,0
40414,27
40415,0
40416,0
40417,0
40418,28
40419,17
40420,82
40421,30
40422,1
40423,111
40424,95
40425,312
40426,0
40427,101
40428,0
40430,10
40432,0
40433,56
40434,0
40435,71
40436,44
40438,6
40439,0
40440,4
40442,51
40444,149
40445,0
40446,0
40447,147
40448,135
40449,31
40450,7
40451,13
40452,92
40453,46
40454,26
40455,7
40456,0
40458,0
40459,1
40460,123
40461,43
40463,0
40464,0
40465,1
40466,0
40467,0
40468,0
40469,0
40470,0
40471,5
40472,138
40473,122
40474,137
40475,137
40476,0
40477,0
40478,0
40479,190
40480,0
40481,0
50482,193
50483,55
50484,80
60485,0
60486,0
60487,0
60488,0
60489,0
60490,0
60491,0
60492,0
60493,0
60494,0
60495,0
60496,0
60497,0
60498,0
